Google Title,Google Author,Google Author URL,Google Abstract
Deep learning based methods for breast cancer diagnosis: a systematic review and future direction,"M Nasser, UK Yusof - Diagnostics, 2023 - mdpi.com",https://scholar.google.com//citations?user=pM2bfrMAAAAJ&hl=zh-CN&oe=GB&oi=sra," , deep learning  learning techniques, deep learning requires less human intervention for similar feature extraction. This study presents a systematic literature review on the deep learning-"
A novel deep learning-based intrusion detection system for IOT networks,"A Awajan - Computers, 2023 - mdpi.com",https://scholar.google.com//citations?user=kCXU59UAAAAJ&hl=zh-CN&oe=GB&oi=sra, novel Deep Learning (DL)-based intrusion detection system for IoT devices. This intelligent system uses a four-layer deep  This innovative deep learning-based IDS maintains a 93.21% 
A comprehensive review on deep learning algorithms: Security and privacy issues,"M Tayyab, M Marjani, NZ Jhanjhi, IAT Hashem… - Computers & …, 2023 - Elsevier",https://scholar.google.com//citations?user=deFlwLIAAAAJ&hl=zh-CN&oe=GB&oi=sra," Machine Learning (ML) algorithms are used to train the machines to perform various  In particular, the applications which have a profound impact on society that rely on Deep Learning ("
Deep Learning Techniques Applied for Automatic Sentence Generation,"S Boopathi - … Diversity, Equity, and Inclusion in Language Learning …, 2023 - igi-global.com",https://scholar.google.com//citations?user=9jJuTy0AAAAJ&hl=zh-CN&oe=GB&oi=sra," Data Collection: Collect a large dataset of text that the deep learning model can use to learn  Model Training: Use a deep learning architecture, such as a recurrent neural network (RNN"
A novel intelligent deep learning predictive model for meteorological drought forecasting,"A Danandeh Mehr, A Rikhtehgar Ghiasi… - Journal of Ambient …, 2023 - Springer",https://scholar.google.com//citations?user=ah_1KQwAAAAJ&hl=zh-CN&oe=GB&oi=sra," SPEI forecasting using deep learning approaches had not  efficiency of two popular deep learning methods, namely long  (ii) to propose a new hybrid deep learning method, called CNN-"
Detection of Crime Scene Objects using Deep Learning Techniques,"TJ Nandhini, K Thinakaran - 2023 International Conference on …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=yMRStxYAAAAJ&hl=zh-CN&oe=GB&oi=sra, This research work has attempted to offer a good model for object recognition by using IR images obtained from crime scenes using Deep Learning. The model is tested in many 
Geometric deep learning and equivariant neural networks,"JE Gerken, J Aronsson, O Carlsson, H Linander… - Artificial Intelligence …, 2023 - Springer",https://scholar.google.com//citations?user=kbPcCvEAAAAJ&hl=zh-CN&oe=GB&oi=sra," We survey the mathematical foundations of geometric deep learning, focusing on group  for \(G=\textrm{SO}(3)\), illustrating the power of representation theory for deep learning. "
Deep learning from phylogenies for diversification analyses,"S Lambert, J Voznica, H Morlon - Systematic Biology, 2023 - academic.oup.com",https://scholar.google.com//citations?user=20WlGJgAAAAJ&hl=zh-CN&oe=GB&oi=sra," Deep learning can bring solutions in such situations, as deep neural networks can be trained to learn  In this paper, we adapt a recently developed deep learning method from pathogen "
Deep learning-based detection of aluminum casting defects and their types,"IE Parlak, E Emel - Engineering Applications of Artificial Intelligence, 2023 - Elsevier",https://scholar.google.com//citations?user=x0TMrMIAAAAJ&hl=zh-CN&oe=GB&oi=sra," In this study, state-of-the-art deep learning-based object detection methods were trained  is the first in the deep learning literature. Among the 12 deep learning-based object detection "
An advanced deep learning models-based plant disease detection: A review of recent research,"M Shoaib, B Shah, S Ei-Sappagh, A Ali… - Frontiers in Plant …, 2023 - frontiersin.org",https://scholar.google.com//citations?user=VUd16KcAAAAJ&hl=zh-CN&oe=GB&oi=sra, Adopting advanced technologies such as Machine Learning (ML) and Deep Learning (DL) can help to overcome these challenges by enabling early identification of plant diseases. In 
Leaf disease identification and classification using optimized deep learning,"YM Abd Algani, OJM Caro, LMR Bravo, C Kaur… - Measurement …, 2023 - Elsevier",https://scholar.google.com//citations?user=ylX5MEAAAAAJ&hl=zh-CN&oe=GB&oi=sra, deep learning (DL) appears to have a lot of potential for improved accuracy. The substantial advancements and expansions in deep learning  an innovative deep learning technique for 
Deep learning approaches for human gait recognition: A review,"V Narayan, S Awasthi, N Fatima, M Faiz… - 2023 International …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=E15PyhoAAAAJ&hl=zh-CN&oe=GB&oi=sra," learning, machine learning methods has also been successful for gait  Deep Learning has emerged as a powerful solution to these problems, in this section popular deep learning "
Recent advances in stochastic gradient descent in deep learning,"Y Tian, Y Zhang, H Zhang - Mathematics, 2023 - mdpi.com",https://scholar.google.com//citations?user=VKolPrMAAAAJ&hl=zh-CN&oe=GB&oi=sra, and speech and audio processing in deep learning. We introduce the different tasks of deep learning and list some practical applications of the SGD algorithm in these significant fields. 
A comprehensive survey on deep learning based malware detection techniques,"M Gopinath, SC Sethuraman - Computer Science Review, 2023 - Elsevier",https://scholar.google.com//citations?user=07OvWo4AAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep Learning is increasingly used in malware detection as DL-based systems outperform  Investigating recently proposed Deep Learning-based malware detection systems and their 
Image-based plant diseases detection using deep learning,"AV Panchal, SC Patel, K Bagyalakshmi… - Materials Today …, 2023 - Elsevier",https://scholar.google.com//citations?user=8zyiGRoAAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep Learning rich libraries and user as well as developer friendly  Deep Learning as the favorable method to get started with this problem. In this paper we have used Deep Learning 
Application of deep learning methods for recognizing and classifying culinary dishes in images,"I Tvoroshenko, V Gorokhovatskyi, O Kobylin… - 2023 - openarchive.nure.ua",https://scholar.google.com//citations?user=_7Q8uIYAAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep learning methods based on neural networks are  the capabilities of the TensorFlow deep learning library and the features  a software application using deep learning methods for 
MRI-based brain tumor detection using convolutional deep learning methods and chosen machine learning techniques,"S Saeedi, S Rezayi, H Keshavarz… - BMC Medical Informatics …, 2023 - Springer",https://scholar.google.com//citations?user=UUM_zLwAAAAJ&hl=zh-CN&oe=GB&oi=sra," Herein, we proposed two deep learning methods and several machine learning approaches for diagnosing three types of tumor, ie, glioma, meningioma, and pituitary gland tumors, as "
Application of meta-heuristic algorithms for training neural networks and deep learning architectures: A comprehensive review,"M Kaveh, MS Mesgari - Neural Processing Letters, 2023 - Springer",https://scholar.google.com//citations?user=QSFze84AAAAJ&hl=zh-CN&oe=GB&oi=sra, The learning process and hyper-parameter optimization of artificial neural networks (ANNs deep learning (DL) architectures is considered one of the most challenging machine learning 
Deep learning techniques for classification of electroencephalogram (EEG) motor imagery (MI) signals: A review,"H Altaheri, G Muhammad, M Alsulaiman… - Neural Computing and …, 2023 - Springer",https://scholar.google.com//citations?user=xMhGYpgAAAAJ&hl=zh-CN&oe=GB&oi=sra," machine learning and deep learning (DL)  the deep learning approaches used in MI classification from four main perspectives: preprocessing method, input formulation, deep learning "
A deep-learning algorithm to classify skin lesions from mpox virus infection,"AH Thieme, Y Zheng, G Machiraju, C Sadee… - Nature medicine, 2023 - nature.com",https://scholar.google.com//citations?user=NhsdGBUAAAAJ&hl=zh-CN&oe=GB&oi=sra, The deep-learning framework (FastAI v2) used in this study is available at https://www.fast.ai/. The pretrained ResNet34 architecture used for the MPXV-CNN in this work is publicly 
Deep learning enabled semantic communications with speech recognition and synthesis,"Z Weng, Z Qin, X Tao, C Pan, G Liu… - IEEE Transactions on …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=6Y3SLxsAAAAJ&hl=zh-CN&oe=GB&oi=sra," Abstract—In this paper, we develop a deep learning based semantic communication system for speech transmission, named DeepSC-ST. We take the speech recognition and speech "
Visible and infrared image fusion using deep learning,"X Zhang, Y Demiris - IEEE Transactions on Pattern Analysis …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=mpYG96wAAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep learning-based methods have undoubtedly become dominant methods for the  deep learning-based methods. In this paper we present a comprehensive review of deep learning-
Diagnosis of brain diseases in fusion of neuroimaging modalities using deep learning: A review,"A Shoeibi, M Khodatars, M Jafari, N Ghassemi… - Information …, 2023 - Elsevier",https://scholar.google.com//citations?user=BefzR_8AAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep Learning (DL) is a branch of artificial intelligence that has shown superior performances compared to more conventional methods in tasks such as brain disease detection from 
Convolution neural network for breast cancer detection and classification using deep learning,"BS Abunasser, MRJ Al-Hiealy, IS Zaqout… - Asian Pacific journal …, 2023 - ncbi.nlm.nih.gov",https://scholar.google.com//citations?user=zytlNPAAAAAJ&hl=zh-CN&oe=GB&oi=sra," in healthcare, deep learning takes a significant role in handling and inspecting a great number of X-ray, MRI, CTR images. The aim of this study is to propose a deep learning model ("
EIDM: Deep learning model for IoT intrusion detection systems,"O Elnakib, E Shaaban, M Mahmoud… - The Journal of …, 2023 - Springer",https://scholar.google.com//citations?user=hKCxazYAAAAJ&hl=zh-CN&oe=GB&oi=sra," In this paper, an anomaly-based IDS that uses deep learning techniques has been developed to classify the network traffic and identify the cyber-attack type. Initially, we opt to "
Large language models are edge-case fuzzers: Testing deep learning libraries via fuzzgpt,"Y Deng, CS Xia, C Yang, SD Zhang, S Yang… - arXiv preprint arXiv …, 2023 - arxiv.org",https://scholar.google.com//citations?user=je2KXVYAAAAJ&hl=zh-CN&oe=GB&oi=sra," Bugs in Deep Learning (DL) libraries may affect almost all  be directly leveraged to implicitly learn all the language and  -tuning and in-context learning), while being generalizable and "
Using deep learning models to detect fake news about COVID-19,"MY Chen, YW Lai, JW Lian - ACM Transactions on Internet Technology, 2023 - dl.acm.org",https://scholar.google.com//citations?user=Fr0l4i4AAAAJ&hl=zh-CN&oe=GB&oi=sra," detecting fake news using deep learning models such as Long Short Memory, Bidirectional Long Short Memory, and Gate Recurrent Unit. Feature learning can be accomplished using "
Potato diseases detection and classification using deep learning methods,"A Arshaghi, M Ashourian, L Ghabeli - Multimedia Tools and Applications, 2023 - Springer",https://scholar.google.com//citations?user=J_v0xb8AAAAJ&hl=zh-CN&oe=GB&oi=sra," , active learning, and few-shot learning. Second, many experiments with various state-of-the- a deep learning-based wet coal. Image classification. This paper establishes deep learning-"
Experimentally realized in situ backpropagation for deep learning in photonic neural networks,"S Pai, Z Sun, TW Hughes, T Park, B Bartlett… - Science, 2023 - science.org",https://scholar.google.com//citations?user=XQGcYt4AAAAJ&hl=zh-CN&oe=GB&oi=sra,"Integrated photonic neural networks provide a promising platform for energy-efficient, high-throughput machine learning with extensive scientific and commercial applications. Photonic "
Secure deep learning in defense in deep-learning-as-a-service computing systems in digital twins,"Z Lv, D Chen, B Cao, H Song… - IEEE Transactions on …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=zNNXEGgAAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep Learning (DL) has shown significant improvements in malware detection and network intrusion detection than machine learning  Deep learning has gained popularity in network 
Deep learning with coherent VCSEL neural networks,"Z Chen, A Sludds, R Davis III, I Christen, L Bernstein… - Nature …, 2023 - nature.com",https://scholar.google.com//citations?user=XR6C9BoAAAAJ&hl=zh-CN&oe=GB&oi=sra,"Deep neural networks (DNNs) are reshaping the field of information processing. With the exponential growth of these DNNs challenging existing computing hardware, optical neural "
Subsurface sedimentary structure identification using deep learning: A review,"C Zhan, Z Dai, Z Yang, X Zhang, Z Ma, HV Thanh… - Earth-Science …, 2023 - Elsevier",https://scholar.google.com//citations?user=abfp3rIAAAAJ&hl=zh-CN&oe=GB&oi=sra, This review highlights deep learning for subsurface  has recently witnessed increasing interest in deep learning (DL)- of meta- and transfer learning. Effective solutions to these problems 
Lung diseases detection using various deep learning algorithms,"MJP Priyadarsini, GK Rajini… - Journal of …, 2023 - downloads.hindawi.com",https://scholar.google.com//citations?user=AmsRlAIAAAAJ&hl=zh-CN&oe=GB&oi=sra," We implemented three deep learning models namely Sequential, Functional &  , deep learning techniques are promising and successful domains that extend the machine learning "
A deep-learning approach for reconstructing 3D turbulent flows from 2D observation data,"MZ Yousif, L Yu, S Hoyas, R Vinuesa, HC Lim - Scientific Reports, 2023 - nature.com",https://scholar.google.com//citations?user=qhAKgcwAAAAJ&hl=zh-CN&oe=GB&oi=sra," This motivates utilising deep learning on subsets of the available data to reduce the required cost of reconstructing the full flow in such full-scale applications. Here, we develop a "
"Survey on evolutionary deep learning: Principles, algorithms, applications, and open issues","N Li, L Ma, G Yu, B Xue, M Zhang, Y Jin - ACM Computing Surveys, 2023 - dl.acm.org",https://scholar.google.com//citations?user=YV0zoHIAAAAJ&hl=zh-CN&oe=GB&oi=sra," Over recent years, there has been a rapid development of deep learning (DL)  deep learning (EDL). This paper aims to analyze EDL from the perspective of automated machine learning "
An extended approach to the diagnosis of tumour location in breast cancer using deep learning,"S Jafarzadeh Ghoushchi, R Ranjbarzadeh… - Journal of Ambient …, 2023 - Springer",https://scholar.google.com//citations?user=I04u7MsAAAAJ&hl=zh-CN&oe=GB&oi=sra," machine learning (ML) model that performs image segmentation in  learning step. Therefore, this study develops a new machine learning approach based on modified deep learning (DL"
A deep learning approaches in text-to-speech system: a systematic review and recent research perspective,"Y Kumar, A Koul, C Singh - Multimedia Tools and Applications, 2023 - Springer",https://scholar.google.com//citations?user=J_2omUUAAAAJ&hl=zh-CN&oe=GB&oi=sra," However, recent developments in speech synthesis have primarily attributed to deep learning-based techniques that have improved a variety of application scenarios, including "
A prognostic driven predictive maintenance framework based on Bayesian deep learning,"L Zhuang, A Xu, XL Wang - Reliability Engineering & System Safety, 2023 - Elsevier",https://scholar.google.com//citations?user=6yyZQ3AAAAAJ&hl=zh-CN&oe=GB&oi=sra," In the prognostic stage, we characterize the latent structure between degradation features and RULs through a Bayesian deep learning model. By doing so, the framework is capable of "
A novel framework for potato leaf disease detection using an efficient deep learning model,"R Mahum, H Munir, ZUN Mughal, M Awais… - … and Ecological Risk …, 2023 - Taylor & Francis",https://scholar.google.com//citations?user=D9bkM_0AAAAJ&hl=zh-CN&oe=GB&oi=sra," There exist techniques grounded on machine learning and deep learning procedures that  Therefore, this article proposes a technique based on an improved deep learning algorithm "
Hybrid deep learning mechanism for charging control and management of Electric Vehicles,"AK Venkitaraman, VSR Kosuru - European Journal of Electrical …, 2023 - ejece.org",https://scholar.google.com//citations?user=_A38qN4AAAAJ&hl=zh-CN&oe=GB&oi=sra," In this study, a hybrid deep learning approach is suggested to assure safe and dependable  A hybrid deep learning-based prediction approach could give quick convergence speed "
Advanced deep learning approaches to predict supply chain risks under COVID-19 restrictions,"MM Bassiouni, RK Chakrabortty, OK Hussain… - Expert Systems with …, 2023 - Elsevier",https://scholar.google.com//citations?user=lHr92I8AAAAJ&hl=zh-CN&oe=GB&oi=sra," Thenceforth, this paper proposes a few Deep Learning (DL) approaches to mitigate shipment risks by predicting ”if a shipment can be exported from one source to another”, despite the "
Deep learning in business analytics: A clash of expectations and reality,"M Schmitt - International Journal of Information Management Data …, 2023 - Elsevier",https://scholar.google.com//citations?user=aCG03GAAAAAJ&hl=zh-CN&oe=GB&oi=sra," The benefits of deep learning (DL) are manifold, but it comes  It is shown that the adoption of deep learning is not only  Deep learning should be regarded as a powerful addition to "
Deep learning for anomaly detection in log data: A survey,"M Landauer, S Onder, F Skopik… - Machine Learning with …, 2023 - Elsevier",https://scholar.google.com//citations?user=Sgso_3QAAAAJ&hl=zh-CN&oe=GB&oi=sra," leveraging deep learning neural  learning techniques and simultaneously resolve issues with unstable data formats. However, there exist many different architectures for deep learning "
Modelling flood susceptibility based on deep learning coupling with ensemble learning models,"Y Li, H Hong - Journal of Environmental Management, 2023 - Elsevier",https://scholar.google.com//citations?user=O4SMk-sAAAAJ&hl=zh-CN&oe=GB&oi=sra," However, the effect of deep learning coupling with ensemble learning models in flood  three deep learning coupling with ensemble learning models by combining the deep learning (DL) "
"Functional magnetic resonance imaging, deep learning, and Alzheimer's disease: A systematic review","SL Warren, AA Moustafa - Journal of Neuroimaging, 2023 - Wiley Online Library",https://scholar.google.com//citations?user=8lhQFaYAAAAJ&hl=zh-CN&oe=GB&oi=sra, reviews fMRI and deep learning methods for AD classification. There have been some other reviews that have discussed the use of fMRI and deep learning for AD diagnoses; 39-41 
A systematic review and analysis of deep learning-based underwater object detection,"S Xu, M Zhang, W Song, H Mei, Q He, A Liotta - Neurocomputing, 2023 - Elsevier",https://scholar.google.com//citations?user=rAI6_7sAAAAJ&hl=zh-CN&oe=GB&oi=sra," Therefore, this paper extensively investigates the related work on deep learning-based underwater object detection and makes a comprehensive analysis and comparative study to "
Deep learning-guided discovery of an antibiotic targeting Acinetobacter baumannii,"G Liu, DB Catacutan, K Rathod, K Swanson… - Nature Chemical …, 2023 - nature.com",https://scholar.google.com//citations?user=09Xhb8oAAAAJ&hl=zh-CN&oe=GB&oi=sra," Fortunately, machine learning methods allow for the rapid exploration of chemical space,  This work highlights the utility of machine learning in antibiotic discovery and describes a "
An MRI-based deep learning approach for accurate detection of Alzheimer's disease,"ELG Marwa, HED Moustafa, F Khalifa, H Khater… - Alexandria Engineering …, 2023 - Elsevier",https://scholar.google.com//citations?user=AR9hvAEAAAAJ&hl=zh-CN&oe=GB&oi=sra," This research develops a deep learning-based pipeline for accurate diagnosis and  In addition, we compare our approach to cutting-edge deep learning architectures, eg, DenseNet121"
SenseFi: A library and benchmark on deep-learning-empowered WiFi human sensing,"J Yang, X Chen, H Zou, CX Lu, D Wang, S Sun, L Xie - Patterns, 2023 - cell.com",https://scholar.google.com//citations?user=D_gxXtwAAAAJ&hl=zh-CN&oe=GB&oi=sra," In this study, we only investigate the effectiveness of deeplearning models trained on representative CSI data obtained using the widely used Intel 5300 NIC and Atheros CSI tools. CSI "
A deep learning method for the prediction of 6-DoF ship motions in real conditions,"M Zhang, G Taimuri, J Zhang… - Proceedings of the …, 2023 - journals.sagepub.com",https://scholar.google.com//citations?user=wM9Y-I0AAAAJ&hl=zh-CN&oe=GB&oi=sra, This paper presents a deep learning method for the prediction of ship motions in 6 Degrees  conditions on ship dynamics is validated by learning the data streams corresponding to ship 
Extended vision transformer (ExViT) for land use and land cover classification: A multimodal deep learning framework,"J Yao, B Zhang, C Li, D Hong… - IEEE Transactions on …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=BkGVDT8AAAAJ&hl=zh-CN&oe=GB&oi=sra," To this end, we propose a novel multimodal deep learning  either linear patch projection or deep regional embedder, our  to several competitive machine learning-based models. The "
Review of pixel-level remote sensing image fusion based on deep learning,"Z Wang, Y Ma, Y Zhang - Information Fusion, 2023 - Elsevier",https://scholar.google.com//citations?user=_mg-y68AAAAJ&hl=zh-CN&oe=GB&oi=sra," a comprehensive review of deep learning-based methods for  is made on four basic deep learning models commonly used in  After that, we find that deep learning models have not "
Deep learning for crop yield prediction: a systematic literature review,"A Oikonomidis, C Catal, A Kassahun - New Zealand Journal of …, 2023 - Taylor & Francis",https://scholar.google.com//citations?user=MV5J9X8AAAAJ&hl=zh-CN&oe=GB&oi=sra," traditional machine learning in crop yield prediction. Here, we must distinguish shallow learning from deep learning), there is no SLR paper that focuses on the use of deep learning in "
Multi-task deep learning for medical image computing and analysis: A review,"Y Zhao, X Wang, T Che, G Bao, S Li - Computers in Biology and Medicine, 2023 - Elsevier",https://scholar.google.com//citations?user=TqoZSacAAAAJ&hl=zh-CN&oe=GB&oi=sra," -task deep learning (MTDL) paradigm, which can also be referred to as multitask deep learning or deep multi-task learning. Different from the conventional deep learning that completes "
State of the art of visual analytics for explainable deep learning,"B La Rosa, G Blasilli, R Bourqui, D Auber… - Computer graphics …, 2023 - Wiley Online Library",https://scholar.google.com//citations?user=D668coEAAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep Learning field. This survey aims to (i) systematically report the contributions of Visual Analytics for eXplainable Deep Learning put into operation by the Deep Learning community (
DeepTraSynergy: drug combinations using multimodal deep learning with transformers,"F Rafiei, H Zeraati, K Abbasi, JB Ghasemi… - …, 2023 - academic.oup.com",https://scholar.google.com//citations?user=J6hrO1gAAAAJ&hl=zh-CN&oe=GB&oi=sra," Hence, we propose a new deep learning-based approach  To learn the feature representation of drugs, we have utilized  tasks that help the approach to learn a better model. In the "
Graph deep learning model for mapping mineral prospectivity,"R Zuo, Y Xu - Mathematical Geosciences, 2023 - Springer",https://scholar.google.com//citations?user=Ly8Ny5MAAAAJ&hl=zh-CN&oe=GB&oi=sra," In this study, graph deep learning algorithms, including graph convolutional networks and  deep learning algorithms with a CNN demonstrated the advantage of graph deep learning "
Improvement of Deep Learning Model for Gastrointestinal Tract Segmentation Surgery,"H Zhou, Y Lou, J Xiong, Y Wang, Y Liu - Frontiers in Computing and …, 2023 - drpress.org",https://scholar.google.com//citations?user=PViluckAAAAJ&hl=zh-CN&oe=GB&oi=sra," This challenge motivates the exploration of deep learning solutions  Leveraging this dataset, our objective is to develop a deep learning  In recent years, deep learning has emerged as a "
Deep learning for optical sensor applications: A review,"NH Al-Ashwal, KAM Al Soufy, ME Hamza, MA Swillam - Sensors, 2023 - mdpi.com",https://scholar.google.com//citations?user=AvOyKAUAAAAJ&hl=zh-CN&oe=GB&oi=sra,"Over the past decade, deep learning (DL) has been applied in a large number of optical sensors applications. DL algorithms can improve the accuracy and reduce the noise level in "
Pancreatic cancer detection on CT scans with deep learning: a nationwide population-based study,"PT Chen, T Wu, P Wang, D Chang, KL Liu, MS Wu… - Radiology, 2023 - pubs.rsna.org",https://scholar.google.com//citations?user=DqARFdEAAAAJ&hl=zh-CN&oe=GB&oi=sra," To develop and to validate a deep learning (DL)–based tool able to detect pancreatic  The deep learning–based tool enabled accurate detection of pancreatic cancer on CT scans, with "
Recent advances in crop disease detection using UAV and deep learning techniques,"TB Shahi, CY Xu, A Neupane, W Guo - Remote Sensing, 2023 - mdpi.com",https://scholar.google.com//citations?user=kQvTN7UAAAAJ&hl=zh-CN&oe=GB&oi=sra, such as machine learning and deep learning. This work aims  on machine learning and deep learning techniques using UAV of various machine learning and deep learning methods for 
"A review of deep learning-based multiple-lesion recognition from medical images: classification, detection and segmentation","H Jiang, Z Diao, T Shi, Y Zhou, F Wang, W Hu… - Computers in Biology …, 2023 - Elsevier",https://scholar.google.com//citations?user=XfD5GXIAAAAJ&hl=zh-CN&oe=GB&oi=sra, on the use of deep learning to recognize multiple diseases in  the recognition method based on deep learning of human main  recent years of literature on deep learning-based multiple-
A blockchain-orchestrated deep learning approach for secure data transmission in IoT-enabled healthcare system,"P Kumar, R Kumar, GP Gupta, R Tripathi… - Journal of Parallel and …, 2023 - Elsevier",https://scholar.google.com//citations?user=XOI7ib4AAAAJ&hl=zh-CN&oe=GB&oi=sra, The authenticated data is further used to design a deep learning architecture to detect intrusion in HS network. The latter combines Deep Sparse AutoEncoder (DSAE) with Bidirectional 
Computation-efficient deep learning for computer vision: A survey,"Y Wang, Y Han, C Wang, S Song… - Cybernetics and …, 2024 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=aw3QZNEAAAAJ&hl=zh-CN&oe=GB&oi=sra," in deep learning. Innovations in model architectures and learning algorithms[1, 2, 3, 4, 5, 6, 7] have allowed deep  This considerable progress has stimulated interest in deploying deep "
A Survey of Deep Learning Techniques for the Analysis of COVID-19 and their usability for Detecting Omicron,"A Khan, SH Khan, M Saif, A Batool… - … of Experimental & …, 2023 - Taylor & Francis",https://scholar.google.com//citations?user=p4B51rAAAAAJ&hl=zh-CN&oe=GB&oi=sra," of deep learning techniques at two different diagnostic levels, ie, image-level and region-level analysis. The deep learning  approaches that further include Transfer Learning (TL) based "
A survey of deep learning-based intrusion detection in automotive applications,"B Lampe, W Meng - Expert Systems with Applications, 2023 - Elsevier",https://scholar.google.com//citations?user=9_TJhGEAAAAJ&hl=zh-CN&oe=GB&oi=sra, of deep learning-based IDSs in automotive networks. We assemble various deep learning  and assess the advantages and disadvantages of different deep learning architectures. 
Depression detection from social networks data based on machine learning and deep learning techniques: An interrogative survey,"KM Hasib, MR Islam, S Sakib, MA Akbar… - IEEE Transactions …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=Pg36s_QAAAAJ&hl=zh-CN&oe=GB&oi=sra," Even though several procedures have been utilized over the past few decades to diagnose depression, machine learning (ML) and deep learning (DL) techniques supply superior "
A deep learning-based model using hybrid feature extraction approach for consumer sentiment analysis,"G Kaur, A Sharma - Journal of big data, 2023 - Springer",https://scholar.google.com//citations?user=ntI5mN4AAAAJ&hl=zh-CN&oe=GB&oi=sra, The study carried out in this section shows that deep learning methods are more efficient than machine learning methods for sentiment classification. The accuracy of deep learning 
Improved face detection method via learning small faces on hard images based on a deep learning approach,"D Mamieva, AB Abdusalomov, M Mukhiddinov… - Sensors, 2023 - mdpi.com",https://scholar.google.com//citations?user=DUD0oR8AAAAJ&hl=zh-CN&oe=GB&oi=sra," To further demonstrate the efficiency of the proposed method for face detection based on deep learning methods, we randomly selected qualitative outcomes of face detection instances "
Recent advances in the application of deep learning for fault diagnosis of rotating machinery using vibration signals,"BA Tama, M Vania, S Lee, S Lim - Artificial Intelligence Review, 2023 - Springer",https://scholar.google.com//citations?user=52_z0gUAAAAJ&hl=zh-CN&oe=GB&oi=sra, This review documents data-driven and recently published deep learning techniques for  researchers with an in-depth view of deep learning-based fault diagnosis methods based on 
Deep learning in mechanical metamaterials: from prediction and generation to inverse design,"X Zheng, X Zhang, TT Chen, I Watanabe - Advanced Materials, 2023 - Wiley Online Library",https://scholar.google.com//citations?user=rPhGUw0AAAAJ&hl=zh-CN&oe=GB&oi=sra," Many recent studies on the implementation of deep learning  of the capabilities of deep learning in property prediction,  the potential of leveraging deep learning to create universally "
Rapid protein stability prediction using deep learning representations,"LM Blaabjerg, MM Kassem, LL Good, N Jonsson… - Elife, 2023 - elifesciences.org",https://scholar.google.com//citations?user=Ep5qE5QAAAAJ&hl=zh-CN&oe=GB&oi=sra," Here, we present RaSP, a method for making rapid and accurate predictions of changes in protein stability by leveraging deep learning representations. RaSP performs on-par with "
Evaluation of estimation in software development using deep learning-modified neural network,"N Sreekanth, J Rama Devi, KA Shukla, DK Mohanty… - Applied …, 2023 - Springer",https://scholar.google.com//citations?user=rYd0GEsAAAAJ&hl=zh-CN&oe=GB&oi=sra," The approach to deep learning via the modified neutral network analogized the problem of the limitless potential of well. Furthermore, it is easy to utilize in a very short time for any "
"Rapid, label-free histopathological diagnosis of liver cancer based on Raman spectroscopy and deep learning","L Huang, H Sun, L Sun, K Shi, Y Chen, X Ren… - Nature …, 2023 - nature.com",https://scholar.google.com//citations?user=rnqpfkkAAAAJ&hl=zh-CN&oe=GB&oi=sra," of deep learning is well suited to solve this problem 17 . Deep learning can extract and learn  Thanks to the flexibility of its architecture, deep learning has also been extended to analyse "
Deep learning for cardiovascular imaging: A review,"RM Wehbe, AK Katsaggleos, KJ Hammond… - JAMA …, 2023 - jamanetwork.com",https://scholar.google.com//citations?user=uJk56S4AAAAJ&hl=zh-CN&oe=GB&oi=sra," learning, particularly deep learning. Machine learning (ML) involves computer algorithms that learn  Deep learning (DL) is a subset of ML based on deep artificial neural networks, which "
Deep learning models-based CT-scan image classification for automated screening of COVID-19,"K Gupta, V Bajaj - Biomedical Signal Processing and Control, 2023 - Elsevier",https://scholar.google.com//citations?user=rhj4Ly0AAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep learning models (DLMs) can be used in both 1- machine learning model for the classification of various cognitive and behavioral emotion regulation strategies. The deep learning-
A novel approach for diabetic retinopathy screening using asymmetric deep learning features,"PK Jena, B Khuntia, C Palai, M Nayak… - Big Data and Cognitive …, 2023 - mdpi.com",https://scholar.google.com//citations?user=Sp3Q6LQAAAAJ&hl=zh-CN&oe=GB&oi=sra," on the architecture of the deep neural network and its  deep learning framework where the feedback weights are updated separately from the feedforward, applying the local learning "
