PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35822355","Successful real-world application of an osteoarthritis classification deep-learning model using 9210 knees-An orthopedic surgeon's view","Wang CT, Huang B, Thogiti N, Zhu WX, Chang CH, Pao JL, Lai F.","J Orthop Res. 2023 Apr;41(4):737-746. doi: 10.1002/jor.25415. Epub 2022 Jul 21.","Wang CT","J Orthop Res","2023","2022/07/13","","","10.1002/jor.25415"
"35007196","An Interpretable Deep Learning Approach for Biomarker Detection in LC-MS Proteomics Data","Iravani S, Conrad TOF.","IEEE/ACM Trans Comput Biol Bioinform. 2023 Jan-Feb;20(1):151-161. doi: 10.1109/TCBB.2022.3141656. Epub 2023 Feb 3.","Iravani S","IEEE/ACM Trans Comput Biol Bioinform","2023","2022/01/10","","","10.1109/TCBB.2022.3141656"
"37363914","Deep learning approaches to landmark detection in tsetse wing images","Geldenhuys DS, Josias S, Brink W, Makhubele M, Hui C, Landi P, Bingham J, Hargrove J, Hazelbag MC.","PLoS Comput Biol. 2023 Jun 26;19(6):e1011194. doi: 10.1371/journal.pcbi.1011194. eCollection 2023 Jun.","Geldenhuys DS","PLoS Comput Biol","2023","2023/06/26","PMC10328335","","10.1371/journal.pcbi.1011194"
"36788735","Contouring quality assurance methodology based on multiple geometric features against deep learning auto-segmentation","Duan J, Bernard ME, Castle JR, Feng X, Wang C, Kenamond MC, Chen Q.","Med Phys. 2023 May;50(5):2715-2732. doi: 10.1002/mp.16299. Epub 2023 Feb 25.","Duan J","Med Phys","2023","2023/02/15","PMC10175153","NIHMS1875349","10.1002/mp.16299"
"37571556","Deep Learning-Based Child Handwritten Arabic Character Recognition and Handwriting Discrimination","Alwagdani MS, Jaha ES.","Sensors (Basel). 2023 Jul 28;23(15):6774. doi: 10.3390/s23156774.","Alwagdani MS","Sensors (Basel)","2023","2023/08/12","PMC10422599","","10.3390/s23156774"
"37581656","Deep learning enables the differentiation between early and late stages of hip avascular necrosis","Klontzas ME, Vassalou EE, Spanakis K, Meurer F, Woertler K, Zibis A, Marias K, Karantanas AH.","Eur Radiol. 2024 Feb;34(2):1179-1186. doi: 10.1007/s00330-023-10104-5. Epub 2023 Aug 15.","Klontzas ME","Eur Radiol","2024","2023/08/15","PMC10853078","","10.1007/s00330-023-10104-5"
"37827168","SEResUTer: a deep learning approach for accurate ECG signal delineation and atrial fibrillation detection","Li X, Cai W, Xu B, Jiang Y, Qi M, Wang M.","Physiol Meas. 2023 Dec 15;44(12). doi: 10.1088/1361-6579/ad02da.","Li X","Physiol Meas","2023","2023/10/12","","","10.1088/1361-6579/ad02da"
"36722621","I-DNAN6mA: Accurate Identification of DNA N(6)-Methyladenine Sites Using the Base-Pairing Map and Deep Learning","Fan XQ, Lin B, Hu J, Guo ZY.","J Chem Inf Model. 2023 Feb 13;63(3):1076-1086. doi: 10.1021/acs.jcim.2c01465. Epub 2023 Feb 1.","Fan XQ","J Chem Inf Model","2023","2023/02/01","","","10.1021/acs.jcim.2c01465"
"36857616","Designing antimicrobial peptides using deep learning and molecular dynamic simulations","Cao Q, Ge C, Wang X, Harvey PJ, Zhang Z, Ma Y, Wang X, Jia X, Mobli M, Craik DJ, Jiang T, Yang J, Wei Z, Wang Y, Chang S, Yu R.","Brief Bioinform. 2023 Mar 19;24(2):bbad058. doi: 10.1093/bib/bbad058.","Cao Q","Brief Bioinform","2023","2023/03/01","","","10.1093/bib/bbad058"
"36946499","Drug repurposing for viral cancers: A paradigm of machine learning, deep learning, and virtual screening-based approaches","Ahmed F, Kang IS, Kim KH, Asif A, Rahim CSA, Samantasinghar A, Memon FH, Choi KH.","J Med Virol. 2023 Apr;95(4):e28693. doi: 10.1002/jmv.28693.","Ahmed F","J Med Virol","2023","2023/03/22","","","10.1002/jmv.28693"
"37400724","Examining the effectiveness of a deep learning-based computer-aided breast cancer detection system for breast ultrasound","Fujioka T, Kubota K, Hsu JF, Chang RF, Sawada T, Ide Y, Taruno K, Hankyo M, Kurita T, Nakamura S, Tateishi U, Takei H.","J Med Ultrason (2001). 2023 Oct;50(4):511-520. doi: 10.1007/s10396-023-01332-9. Epub 2023 Jul 4.","Fujioka T","J Med Ultrason (2001)","2023","2023/07/03","PMC10556122","","10.1007/s10396-023-01332-9"
"38325923","Stacked deep learning approach for efficient SARS-CoV-2 detection in blood samples","Wang W, Harrou F, Dairi A, Sun Y.","Artif Intell Med. 2024 Feb;148:102767. doi: 10.1016/j.artmed.2024.102767. Epub 2024 Jan 14.","Wang W","Artif Intell Med","2024","2024/02/07","","","10.1016/j.artmed.2024.102767"
"36350524","Artificial intelligence in lung cancer: current applications and perspectives","Chassagnon G, De Margerie-Mellon C, Vakalopoulou M, Marini R, Hoang-Thi TN, Revel MP, Soyer P.","Jpn J Radiol. 2023 Mar;41(3):235-244. doi: 10.1007/s11604-022-01359-x. Epub 2022 Nov 9.","Chassagnon G","Jpn J Radiol","2023","2022/11/09","PMC9643917","","10.1007/s11604-022-01359-x"
"38453943","DeepETPicker: Fast and accurate 3D particle picking for cryo-electron tomography using weakly supervised deep learning","Liu G, Niu T, Qiu M, Zhu Y, Sun F, Yang G.","Nat Commun. 2024 Mar 7;15(1):2090. doi: 10.1038/s41467-024-46041-0.","Liu G","Nat Commun","2024","2024/03/07","","","10.1038/s41467-024-46041-0"
"37793414","Rapid prediction of lab-grown tissue properties using deep learning","Andrews AE, Dickinson H, Hague JP.","Phys Biol. 2023 Oct 19;20(6). doi: 10.1088/1478-3975/ad0019.","Andrews AE","Phys Biol","2023","2023/10/04","","","10.1088/1478-3975/ad0019"
"37018727","A Novel Deep Learning Model for Medical Report Generation by Inter-Intra Information Calibration","Zhang J, Shen X, Wan S, Goudos SK, Wu J, Cheng M, Zhang W.","IEEE J Biomed Health Inform. 2023 Oct;27(10):5110-5121. doi: 10.1109/JBHI.2023.3236661. Epub 2023 Oct 5.","Zhang J","IEEE J Biomed Health Inform","2023","2023/04/05","","","10.1109/JBHI.2023.3236661"
"37433827","Transfer-learning is a key ingredient to fast deep learning-based 4D liver MRI reconstruction","Gulamhussene G, Rak M, Bashkanov O, Joeres F, Omari J, Pech M, Hansen C.","Sci Rep. 2023 Jul 11;13(1):11227. doi: 10.1038/s41598-023-38073-1.","Gulamhussene G","Sci Rep","2023","2023/07/11","PMC10336014","","10.1038/s41598-023-38073-1"
"37447772","Traffic Sign Recognition with Deep Learning: Vegetation Occlusion Detection in Brazilian Environments","Dalborgo V, Murari TB, Madureira VS, Moraes JGL, Bezerra VMOS, Santos FQ, Silva A, Monteiro RLS.","Sensors (Basel). 2023 Jun 26;23(13):5919. doi: 10.3390/s23135919.","Dalborgo V","Sensors (Basel)","2023","2023/07/14","PMC10346319","","10.3390/s23135919"
"37517077","Deep learning proton beam range estimation model for quality assurance based on two-dimensional scintillated light distributions in simulations","Lee E, Cho B, Kwak J, Jeong C, Park MJ, Kim SW, Song SY, Goh Y.","Med Phys. 2023 Nov;50(11):7203-7213. doi: 10.1002/mp.16646. Epub 2023 Jul 30.","Lee E","Med Phys","2023","2023/07/30","","","10.1002/mp.16646"
"37336603","Estimation of surface ozone concentration over Jiangsu province using a high-performance deep learning model","Mu X, Wang S, Jiang P, Wu Y.","J Environ Sci (China). 2023 Oct;132:122-133. doi: 10.1016/j.jes.2022.09.032. Epub 2022 Oct 4.","Mu X","J Environ Sci (China)","2023","2023/06/19","","","10.1016/j.jes.2022.09.032"
"38083567","Heart Failure Assessment Using Multiparameter Polar Representations and Deep Learning()","Alkhodari M, Hadjileontiadis LJ, Jelinek HF, Khandoker AH.","Annu Int Conf IEEE Eng Med Biol Soc. 2023 Jul;2023:1-4. doi: 10.1109/EMBC40787.2023.10341132.","Alkhodari M","Annu Int Conf IEEE Eng Med Biol Soc","2023","2023/12/12","","","10.1109/EMBC40787.2023.10341132"
"38073072","Unsupervised deep learning model for correcting Nyquist ghosts of single-shot spatiotemporal encoding","Bao Q, Liu X, Xu J, Xia L, Otikovs M, Xie H, Liu K, Zhang Z, Zhou X, Liu C.","Magn Reson Med. 2024 Apr;91(4):1368-1383. doi: 10.1002/mrm.29925. Epub 2023 Dec 10.","Bao Q","Magn Reson Med","2024","2023/12/11","","","10.1002/mrm.29925"
"36308503","Synthetic-to-real domain adaptation with deep learning for fitting the intravoxel incoherent motion model of diffusion-weighted imaging","Huang H, Liu B, Xu Y, Zhou W.","Med Phys. 2023 Mar;50(3):1614-1622. doi: 10.1002/mp.16031. Epub 2023 Jan 14.","Huang H","Med Phys","2023","2022/10/29","","","10.1002/mp.16031"
"36694210","Implementing deep learning models for the classification of Echinococcus multilocularis infection in human liver tissue","Sulyok M, Luibrand J, Strohäker J, Karacsonyi P, Frauenfeld L, Makky A, Mattern S, Zhao J, Nadalin S, Fend F, Schürch CM.","Parasit Vectors. 2023 Jan 24;16(1):29. doi: 10.1186/s13071-022-05640-w.","Sulyok M","Parasit Vectors","2023","2023/01/24","PMC9875509","","10.1186/s13071-022-05640-w"
"38325183","Lane-change intention recognition considering oncoming traffic: Novel insights revealed by advances in deep learning","Liu H, Wang T, Li W, Ye X, Yuan Q.","Accid Anal Prev. 2024 Apr;198:107476. doi: 10.1016/j.aap.2024.107476. Epub 2024 Feb 6.","Liu H","Accid Anal Prev","2024","2024/02/07","","","10.1016/j.aap.2024.107476"
"37300906","Deep-learning-assisted and GPU-accelerated vector Doppler imaging with aliasing-resistant velocity estimation","Nahas H, Yiu BYS, Chee AJY, Au JS, Yu ACH.","Ultrasonics. 2023 Sep;134:107050. doi: 10.1016/j.ultras.2023.107050. Epub 2023 May 24.","Nahas H","Ultrasonics","2023","2023/06/10","","","10.1016/j.ultras.2023.107050"
"37005441","Evaluating the generalizability of deep learning image classification algorithms to detect middle ear disease using otoscopy","Habib AR, Xu Y, Bock K, Mohanty S, Sederholm T, Weeks WB, Dodhia R, Ferres JL, Perry C, Sacks R, Singh N.","Sci Rep. 2023 Apr 1;13(1):5368. doi: 10.1038/s41598-023-31921-0.","Habib AR","Sci Rep","2023","2023/04/03","PMC10067817","","10.1038/s41598-023-31921-0"
"35739245","A deep learning model established for evaluating lid margin signs with colour anterior segment photography","Wang Y, Jia X, Wei S, Li X.","Eye (Lond). 2023 May;37(7):1377-1382. doi: 10.1038/s41433-022-02088-1. Epub 2022 Jun 23.","Wang Y","Eye (Lond)","2023","2022/06/23","PMC10170093","","10.1038/s41433-022-02088-1"
"36708879","Detecting dry eye from ocular surface videos based on deep learning","Abdelmotaal H, Hazarbasanov R, Taneri S, Al-Timemy A, Lavric A, Takahashi H, Yousefi S.","Ocul Surf. 2023 Apr;28:90-98. doi: 10.1016/j.jtos.2023.01.005. Epub 2023 Jan 26.","Abdelmotaal H","Ocul Surf","2023","2023/01/28","","","10.1016/j.jtos.2023.01.005"
"36929928","DeepOM: single-molecule optical genome mapping via deep learning","Nogin Y, Detinis Zur T, Margalit S, Barzilai I, Alalouf O, Ebenstein Y, Shechtman Y.","Bioinformatics. 2023 Mar 1;39(3):btad137. doi: 10.1093/bioinformatics/btad137.","Nogin Y","Bioinformatics","2023","2023/03/17","PMC10049785","","10.1093/bioinformatics/btad137"
"38326768","Genomic prediction using machine learning: a comparison of the performance of regularized regression, ensemble, instance-based and deep learning methods on synthetic and empirical data","Lourenço VM, Ogutu JO, Rodrigues RAP, Posekany A, Piepho HP.","BMC Genomics. 2024 Feb 7;25(1):152. doi: 10.1186/s12864-023-09933-x.","Lourenço VM","BMC Genomics","2024","2024/02/07","PMC10848392","","10.1186/s12864-023-09933-x"
"37246641","Design of synthetic promoters for cyanobacteria with generative deep-learning model","Seo E, Choi YN, Shin YR, Kim D, Lee JW.","Nucleic Acids Res. 2023 Jul 21;51(13):7071-7082. doi: 10.1093/nar/gkad451.","Seo E","Nucleic Acids Res","2023","2023/05/29","PMC10359606","","10.1093/nar/gkad451"
"35922127","Deep learning model to identify homonymous defects on automated perimetry","Tan AH, Donaldson L, Moolla L, Pereira A, Margolin E.","Br J Ophthalmol. 2023 Oct;107(10):1516-1521. doi: 10.1136/bjo-2021-320996. Epub 2022 Aug 3.","Tan AH","Br J Ophthalmol","2023","2022/08/03","","","10.1136/bjo-2021-320996"
"37917086","Prediction of Central Visual Field Measures From Macular OCT Volume Scans With Deep Learning","Mohammadzadeh V, Vepa A, Li C, Wu S, Chew L, Mahmoudinezhad G, Maltz E, Sahin S, Mylavarapu A, Edalati K, Martinyan J, Yalzadeh D, Scalzo F, Caprioli J, Nouri-Mahdavi K.","Transl Vis Sci Technol. 2023 Nov 1;12(11):5. doi: 10.1167/tvst.12.11.5.","Mohammadzadeh V","Transl Vis Sci Technol","2023","2023/11/02","PMC10627306","","10.1167/tvst.12.11.5"
"37356909","iQDeep: an integrated web server for protein scoring using multiscale deep learning models","Shuvo MH, Karim M, Bhattacharya D.","J Mol Biol. 2023 Jul 15;435(14):168057. doi: 10.1016/j.jmb.2023.168057. Epub 2023 Mar 23.","Shuvo MH","J Mol Biol","2023","2023/06/25","PMC10291203","NIHMS1887694","10.1016/j.jmb.2023.168057"
"38081130","Conventional and deep learning methods in heart rate estimation from RGB face videos","Helwan A, Azar D, Ma'aitah MKS.","Physiol Meas. 2024 Feb 9;45(2). doi: 10.1088/1361-6579/ad1458.","Helwan A","Physiol Meas","2024","2023/12/11","","","10.1088/1361-6579/ad1458"
"38261472","QTNet: Deep Learning for Estimating QT Intervals Using a Single Lead ECG","Alam R, Aguirre AD, Stultz CM.","Annu Int Conf IEEE Eng Med Biol Soc. 2023 Jul;2023:1-4. doi: 10.1109/EMBC40787.2023.10341204.","Alam R","Annu Int Conf IEEE Eng Med Biol Soc","2023","2024/01/23","","","10.1109/EMBC40787.2023.10341204"
"37244940","Deep learning enables satellite-based monitoring of large populations of terrestrial mammals across heterogeneous landscape","Wu Z, Zhang C, Gu X, Duporge I, Hughey LF, Stabach JA, Skidmore AK, Hopcraft JGC, Lee SJ, Atkinson PM, McCauley DJ, Lamprey R, Ngene S, Wang T.","Nat Commun. 2023 May 27;14(1):3072. doi: 10.1038/s41467-023-38901-y.","Wu Z","Nat Commun","2023","2023/05/27","PMC10224963","","10.1038/s41467-023-38901-y"
"35994549","Cognitive Depression Detection Cyber-Medical System Based on EEG Analysis and Deep Learning Approaches","Chiang HS, Chen MY, Liao LS.","IEEE J Biomed Health Inform. 2023 Feb;27(2):608-616. doi: 10.1109/JBHI.2022.3200522. Epub 2023 Feb 3.","Chiang HS","IEEE J Biomed Health Inform","2023","2022/08/22","","","10.1109/JBHI.2022.3200522"
"37523217","scDeepInsight: a supervised cell-type identification method for scRNA-seq data with deep learning","Jia S, Lysenko A, Boroevich KA, Sharma A, Tsunoda T.","Brief Bioinform. 2023 Sep 20;24(5):bbad266. doi: 10.1093/bib/bbad266.","Jia S","Brief Bioinform","2023","2023/07/31","PMC10516353","","10.1093/bib/bbad266"
"38219066","Binary fire hawks optimizer with deep learning driven non-invasive diabetes detection and classification","Periasamy NR.","Bratisl Lek Listy. 2024;125(2):117-124. doi: 10.4149/BLL_2024_020.","Periasamy NR","Bratisl Lek Listy","2024","2024/01/14","","","10.4149/BLL_2024_020"
"38160501","A deep learning framework for predicting molecular property based on multi-type features fusion","Ma M, Lei X.","Comput Biol Med. 2024 Feb;169:107911. doi: 10.1016/j.compbiomed.2023.107911. Epub 2023 Dec 28.","Ma M","Comput Biol Med","2024","2023/12/31","","","10.1016/j.compbiomed.2023.107911"
"38214940","Comparison of deep learning methods for the radiographic detection of patients with different periodontitis stages","Guler Ayyildiz B, Karakis R, Terzioglu B, Ozdemir D.","Dentomaxillofac Radiol. 2024 Jan 11;53(1):32-42. doi: 10.1093/dmfr/twad003.","Guler Ayyildiz B","Dentomaxillofac Radiol","2024","2024/01/12","","","10.1093/dmfr/twad003"
"36441886","A Comparison of Signal Combinations for Deep Learning-Based Simultaneous Sleep Staging and Respiratory Event Detection","Huttunen R, Leppanen T, Duce B, Arnardottir ES, Nikkonen S, Myllymaa S, Toyras J, Korkalainen H.","IEEE Trans Biomed Eng. 2023 May;70(5):1704-1714. doi: 10.1109/TBME.2022.3225268. Epub 2023 Apr 20.","Huttunen R","IEEE Trans Biomed Eng","2023","2022/11/28","","","10.1109/TBME.2022.3225268"
"38047451","Machine Learning and Deep Learning Techniques Applied to Diabetes Research: A Bibliometric Analysis","García-Jaramillo M, Luque C, León-Vargas F.","J Diabetes Sci Technol. 2024 Mar;18(2):287-301. doi: 10.1177/19322968231215350. Epub 2023 Dec 4.","García-Jaramillo M","J Diabetes Sci Technol","2024","2023/12/04","","","10.1177/19322968231215350"
"38396289","Performance evaluation of a deep learning model for automatic detection and localization of idiopathic osteosclerosis on dental panoramic radiographs","Tassoker M, Öziç MÜ, Yuce F.","Sci Rep. 2024 Feb 23;14(1):4437. doi: 10.1038/s41598-024-55109-2.","Tassoker M","Sci Rep","2024","2024/02/24","PMC10891049","","10.1038/s41598-024-55109-2"
"37930963","CT scan pancreatic cancer segmentation and classification using deep learning and the tunicate swarm algorithm","Gandikota HP, S A, M SK.","PLoS One. 2023 Nov 6;18(11):e0292785. doi: 10.1371/journal.pone.0292785. eCollection 2023.","Gandikota HP","PLoS One","2023","2023/11/06","PMC10627451","","10.1371/journal.pone.0292785"
"37478528","Deep learning radiopathomics based on preoperative US images and biopsy whole slide images can distinguish between luminal and non-luminal tumors in early-stage breast cancers","Huang Y, Yao Z, Li L, Mao R, Huang W, Hu Z, Hu Y, Wang Y, Guo R, Tang X, Yang L, Wang Y, Luo R, Yu J, Zhou J.","EBioMedicine. 2023 Aug;94:104706. doi: 10.1016/j.ebiom.2023.104706. Epub 2023 Jul 19.","Huang Y","EBioMedicine","2023","2023/07/21","PMC10393555","","10.1016/j.ebiom.2023.104706"
"37192044","Development of deep learning model and evaluation in real clinical practice of lingual mandibular bone depression (Stafne cyst) on panoramic radiographs","Ha EG, Jeon KJ, Lee C, Kim HS, Han SS.","Dentomaxillofac Radiol. 2023 Jul;52(5):20220413. doi: 10.1259/dmfr.20220413. Epub 2023 May 16.","Ha EG","Dentomaxillofac Radiol","2023","2023/05/16","PMC10304844","","10.1259/dmfr.20220413"
"36651657","HelixGAN a deep-learning methodology for conditional de novo design of α-helix structures","Xie X, Valiente PA, Kim PM.","Bioinformatics. 2023 Jan 1;39(1):btad036. doi: 10.1093/bioinformatics/btad036.","Xie X","Bioinformatics","2023","2023/01/18","PMC9887083","","10.1093/bioinformatics/btad036"
"36677867","Structural Analysis and Classification of Low-Molecular-Weight Hyaluronic Acid by Near-Infrared Spectroscopy: A Comparison between Traditional Machine Learning and Deep Learning","Tian W, Zang L, Nie L, Li L, Zhong L, Guo X, Huang S, Zang H.","Molecules. 2023 Jan 13;28(2):809. doi: 10.3390/molecules28020809.","Tian W","Molecules","2023","2023/01/21","PMC9862636","","10.3390/molecules28020809"
"36724090","Deep Learning-Based Bioactive Therapeutic Peptide Generation and Screening","Zhang H, Saravanan KM, Wei Y, Jiao Y, Yang Y, Pan Y, Wu X, Zhang JZH.","J Chem Inf Model. 2023 Feb 13;63(3):835-845. doi: 10.1021/acs.jcim.2c01485. Epub 2023 Feb 1.","Zhang H","J Chem Inf Model","2023","2023/02/01","","","10.1021/acs.jcim.2c01485"
"37995133","CellGO: a novel deep learning-based framework and webserver for cell-type-specific gene function interpretation","Li P, Wei J, Zhu Y.","Brief Bioinform. 2023 Nov 22;25(1):bbad417. doi: 10.1093/bib/bbad417.","Li P","Brief Bioinform","2023","2023/11/23","PMC10790717","","10.1093/bib/bbad417"
"37741500","A new method based on deep learning and image processing for detection of strabismus with the Hirschberg test","Karaaslan Ş, Kobat SG, Gedikpınar M.","Photodiagnosis Photodyn Ther. 2023 Dec;44:103805. doi: 10.1016/j.pdpdt.2023.103805. Epub 2023 Sep 22.","Karaaslan Ş","Photodiagnosis Photodyn Ther","2023","2023/09/23","","","10.1016/j.pdpdt.2023.103805"
"36562722","CCSynergy: an integrative deep-learning framework enabling context-aware prediction of anti-cancer drug synergy","Hosseini SR, Zhou X.","Brief Bioinform. 2023 Jan 19;24(1):bbac588. doi: 10.1093/bib/bbac588.","Hosseini SR","Brief Bioinform","2023","2022/12/23","PMC9851301","","10.1093/bib/bbac588"
"37703716","An explainable deep-learning model to stage sleep states in children and propose novel EEG-related patterns in sleep apnea","Vaquerizo-Villar F, Gutiérrez-Tobal GC, Calvo E, Álvarez D, Kheirandish-Gozal L, Del Campo F, Gozal D, Hornero R.","Comput Biol Med. 2023 Oct;165:107419. doi: 10.1016/j.compbiomed.2023.107419. Epub 2023 Aug 31.","Vaquerizo-Villar F","Comput Biol Med","2023","2023/09/13","","","10.1016/j.compbiomed.2023.107419"
"37623009","Deep Learning Algorithm for Tumor Segmentation and Discrimination of Clinically Significant Cancer in Patients with Prostate Cancer","Hong S, Kim SH, Yoo B, Kim JY.","Curr Oncol. 2023 Aug 1;30(8):7275-7285. doi: 10.3390/curroncol30080528.","Hong S","Curr Oncol","2023","2023/08/25","PMC10453750","","10.3390/curroncol30080528"
"36577348","An accurate prediction of the origin for bone metastatic cancer using deep learning on digital pathological images","Zhu L, Shi H, Wei H, Wang C, Shi S, Zhang F, Yan R, Liu Y, He T, Wang L, Cheng J, Duan H, Du H, Meng F, Zhao W, Gu X, Guo L, Ni Y, He Y, Guan T, Han A.","EBioMedicine. 2023 Jan;87:104426. doi: 10.1016/j.ebiom.2022.104426. Epub 2022 Dec 26.","Zhu L","EBioMedicine","2023","2022/12/28","PMC9803701","","10.1016/j.ebiom.2022.104426"
"36283117","Imaging to Explore the Interface between Pulmonary Structure and Function","Sorkness RL.","Radiology. 2023 Mar;306(3):e222278. doi: 10.1148/radiol.222278. Epub 2022 Oct 25.","Sorkness RL","Radiology","2023","2022/10/25","","","10.1148/radiol.222278"
"36800143","Segmentation of the aorta in systolic phase from 4D flow MRI: multi-atlas vs. deep learning","Marin-Castrillon DM, Geronzi L, Boucher A, Lin S, Morgant MC, Cochet A, Rochette M, Leclerc S, Ambarki K, Jin N, Aho LS, Lalande A, Bouchot O, Presles B.","MAGMA. 2023 Oct;36(5):687-700. doi: 10.1007/s10334-023-01066-2. Epub 2023 Feb 17.","Marin-Castrillon DM","MAGMA","2023","2023/02/17","","","10.1007/s10334-023-01066-2"
"37867633","Deep-learning-based cross-modality translation from Stokes image to bright-field contrast","Wei S, Si L, Huang T, Du S, Yao Y, Dong Y, Ma H.","J Biomed Opt. 2023 Oct;28(10):102911. doi: 10.1117/1.JBO.28.10.102911. Epub 2023 Oct 20.","Wei S","J Biomed Opt","2023","2023/10/23","PMC10587695","","10.1117/1.JBO.28.10.102911"
"37960645","A Deep Learning Approach to Classify Surgical Skill in Microsurgery Using Force Data from a Novel Sensorised Surgical Glove","Xu J, Anastasiou D, Booker J, Burton OE, Layard Horsfall H, Salvadores Fernandez C, Xue Y, Stoyanov D, Tiwari MK, Marcus HJ, Mazomenos EB.","Sensors (Basel). 2023 Nov 3;23(21):8947. doi: 10.3390/s23218947.","Xu J","Sensors (Basel)","2023","2023/11/14","PMC10650455","","10.3390/s23218947"
"37631628","Efficient Photoacoustic Image Synthesis with Deep Learning","Rix T, Dreher KK, Nölke JH, Schellenberg M, Tizabi MD, Seitel A, Maier-Hein L.","Sensors (Basel). 2023 Aug 10;23(16):7085. doi: 10.3390/s23167085.","Rix T","Sensors (Basel)","2023","2023/08/26","PMC10457787","","10.3390/s23167085"
"37050730","Weed Detection Using Deep Learning: A Systematic Literature Review","Murad NY, Mahmood T, Forkan ARM, Morshed A, Jayaraman PP, Siddiqui MS.","Sensors (Basel). 2023 Mar 31;23(7):3670. doi: 10.3390/s23073670.","Murad NY","Sensors (Basel)","2023","2023/04/13","PMC10098587","","10.3390/s23073670"
"36433748","Deep learning-based motion quantification from k-space for fast model-based magnetic resonance imaging motion correction","Hossbach J, Splitthoff DN, Cauley S, Clifford B, Polak D, Lo WC, Meyer H, Maier A.","Med Phys. 2023 Apr;50(4):2148-2161. doi: 10.1002/mp.16119. Epub 2022 Dec 13.","Hossbach J","Med Phys","2023","2022/11/26","","","10.1002/mp.16119"
"37327579","SCADA securing system using deep learning to prevent cyber infiltration","Diaba SY, Anafo T, Tetteh LA, Oyibo MA, Alola AA, Shafie-Khah M, Elmusrati M.","Neural Netw. 2023 Aug;165:321-332. doi: 10.1016/j.neunet.2023.05.047. Epub 2023 Jun 2.","Diaba SY","Neural Netw","2023","2023/06/16","","","10.1016/j.neunet.2023.05.047"
"35811127","Commercially Available Deep-learning-reconstruction of MR Imaging of the Knee at 1.5T Has Higher Image Quality Than Conventionally-reconstructed Imaging at 3T: A Normal Volunteer Study","Akai H, Yasaka K, Sugawara H, Tajima T, Akahane M, Yoshioka N, Ohtomo K, Abe O, Kiryu S.","Magn Reson Med Sci. 2023 Jul 1;22(3):353-360. doi: 10.2463/mrms.mp.2022-0020. Epub 2022 Jul 9.","Akai H","Magn Reson Med Sci","2023","2022/07/10","PMC10449552","","10.2463/mrms.mp.2022-0020"
"38167849","Deep learning for transesophageal echocardiography view classification","Steffner KR, Christensen M, Gill G, Bowdish M, Rhee J, Kumaresan A, He B, Zou J, Ouyang D.","Sci Rep. 2024 Jan 2;14(1):11. doi: 10.1038/s41598-023-50735-8.","Steffner KR","Sci Rep","2024","2024/01/03","PMC10761863","","10.1038/s41598-023-50735-8"
"38232604","Deep learning of sleep apnea-hypopnea events for accurate classification of obstructive sleep apnea and determination of clinical severity","Yook S, Kim D, Gupte C, Joo EY, Kim H.","Sleep Med. 2024 Feb;114:211-219. doi: 10.1016/j.sleep.2024.01.015. Epub 2024 Jan 11.","Yook S","Sleep Med","2024","2024/01/17","PMC10872216","NIHMS1960220","10.1016/j.sleep.2024.01.015"
"36847701","Collaborative deep learning improves disease-related circRNA prediction based on multi-source functional information","Wang Y, Liu X, Shen Y, Song X, Wang T, Shang X, Peng J.","Brief Bioinform. 2023 Mar 19;24(2):bbad069. doi: 10.1093/bib/bbad069.","Wang Y","Brief Bioinform","2023","2023/02/27","","","10.1093/bib/bbad069"
"38163455","Tooth morphology, internal fit, occlusion and proximal contacts of dental crowns designed by deep learning-based dental software: A comparative study","Cho JH, Çakmak G, Yi Y, Yoon HI, Yilmaz B, Schimmel M.","J Dent. 2024 Feb;141:104830. doi: 10.1016/j.jdent.2023.104830. Epub 2023 Dec 30.","Cho JH","J Dent","2024","2024/01/01","","","10.1016/j.jdent.2023.104830"
"37996439","Computer-aided diagnosis of keratoconus through VAE-augmented images using deep learning","Agharezaei Z, Firouzi R, Hassanzadeh S, Zarei-Ghanavati S, Bahaadinbeigy K, Golabpour A, Akbarzadeh R, Agharezaei L, Bakhshali MA, Sedaghat MR, Eslami S.","Sci Rep. 2023 Nov 23;13(1):20586. doi: 10.1038/s41598-023-46903-5.","Agharezaei Z","Sci Rep","2023","2023/11/23","PMC10667539","","10.1038/s41598-023-46903-5"
"37167222","Predicting preterm births from electrohysterogram recordings via deep learning","Goldsztejn U, Nehorai A.","PLoS One. 2023 May 11;18(5):e0285219. doi: 10.1371/journal.pone.0285219. eCollection 2023.","Goldsztejn U","PLoS One","2023","2023/05/11","PMC10174487","","10.1371/journal.pone.0285219"
"37934040","Deep learning for fast super-resolution ultrasound microvessel imaging","Luan S, Yu X, Lei S, Ma C, Wang X, Xue X, Ding Y, Ma T, Zhu B.","Phys Med Biol. 2023 Dec 12;68(24). doi: 10.1088/1361-6560/ad0a5a.","Luan S","Phys Med Biol","2023","2023/11/07","","","10.1088/1361-6560/ad0a5a"
